effective_build_year,net_area,basement_finished,has_garage,has_fireplace,house_number,fully_taxable,building_count,walkout_basement,air_conditioning,tot_gross_area_description,lot_size,property_type,assessed_value
1965,139.4,1,1,1,13611,1,1,0,0,350.6,1279.098,RESIDENTIAL,960500
2003,339.6,1,1,1,330,1,1,1,0,395.3,1058.78,RESIDENTIAL,960500
1967,759.92,0,0,0,14544,1,1,0,0,759.922,1426.55,INDUSTRIAL,960000
2012,270.8,1,1,1,5416,1,1,1,0,319.9,536.012,RESIDENTIAL,959500
1976,275.86,1,1,1,166,1,1,0,0,329.15,1205.094,RESIDENTIAL,959500
1981,530.2,0,0,0,17509,1,1,0,1,530.2,1088.83,INDUSTRIAL,959000
1968,193.5,1,1,1,8403,1,1,0,0,245.4,999.926,RESIDENTIAL,959000
2008,355.2,1,1,1,232,1,1,0,0,449.6,2019.869,RESIDENTIAL,959000
1990,331.2,1,1,1,12528,1,1,0,0,406.4,982.848,RESIDENTIAL,958500
1992,791.719,0,0,0,7907,0,1,0,0,791.72,2016.692,URBAN,958000
1936,235.48,1,1,1,10416,1,1,0,1,322.38,757.45,RESIDENTIAL,958000
2005,240.1,1,1,1,712,1,1,1,0,329.6,1103.065,RESIDENTIAL,958000
1992,445.93,0,0,0,11836,1,1,0,0,445.93,1888.882,COMMERCIAL,958000
2009,299.1,1,1,1,1054,1,1,0,1,366.7,626.057,RESIDENTIAL,957500
2009,288.2,0,1,1,851,1,1,0,0,364,569.282,RESIDENTIAL,957500
2001,185.5,1,1,0,12811,1,1,1,0,228.3,771.495,RESIDENTIAL,957500
1968,282.8,1,1,1,9012,1,1,0,0,327.8,715.468,RESIDENTIAL,957000
1975,215.47,1,1,1,10808,1,1,0,0,273.14,4323.74,RESIDENTIAL,957000
1978,872.48,0,0,0,6520,1,1,0,1,872.48,1303.572,COMMERCIAL,957000
1990,300.98,1,1,1,12820,1,1,0,0,353.54,650.236,RESIDENTIAL,956500
1965,236,1,1,1,8711,1,1,0,1,328.6,836.787,RESIDENTIAL,956500
1980,548.128,0,0,0,6615,1,3,0,0,548.128,8222.181,INDUSTRIAL,956500
1969,257.2,1,1,1,13404,1,1,0,1,327.8,852.116,RESIDENTIAL,956500
2002,187.4,1,1,1,1435,1,1,1,0,244.1,804.364,RESIDENTIAL,956500
1976,382.38,0,1,1,3,1,1,0,0,572.23,5178.927,RESIDENTIAL,956500
2003,186.4,1,1,1,11717,1,1,0,0,243.9,469.234,RESIDENTIAL,956000
1991,464.5,0,0,0,4212,1,1,0,1,510.95,1097.377,INDUSTRIAL,956000
2005,305.6,1,1,1,2047,1,1,0,0,353.5,533.986,RESIDENTIAL,956000
1993,314.56,0,1,1,436,1,1,0,0,390.56,881.667,RESIDENTIAL,956000
1969,220.5,1,1,1,13404,1,1,0,0,267.3,1072.706,RESIDENTIAL,955500
2003,267.95,1,1,1,672,1,1,0,0,311.25,729.135,RESIDENTIAL,955500
1991,324.26,0,1,1,524,1,1,0,0,404.88,676.447,RESIDENTIAL,955500
1954,168.45,1,1,1,22,1,1,0,0,217.36,1439.814,RESIDENTIAL,955500
2004,0,0,0,0,18020,1,0,0,0,0,4269.98,INDUSTRIAL,955000
2006,315.4,1,1,1,426,1,1,0,0,374.6,588.045,RESIDENTIAL,955000
1966,334.56,1,1,1,6631,1,1,0,0,381.28,1138.895,RESIDENTIAL,954500
1985,230.09,1,1,1,13619,1,1,0,0,281.09,764.74,RESIDENTIAL,954500
2014,351.2,0,0,0,14308,1,1,0,0,351.2,865.265,RESIDENTIAL,954500
2005,265.1,1,1,1,1730,1,1,0,0,359.2,1127.622,RESIDENTIAL,954500
2010,263.8,0,1,1,3512,1,1,1,0,308.8,1033.333,RESIDENTIAL,954500
2005,377.12,0,0,0,20531,1,1,0,0,427.367,4085.371,INDUSTRIAL,954000
1991,0,0,0,0,8503,1,0,0,0,0,6006.177,COMMERCIAL,953500
1993,395.44,0,1,1,1025,1,1,0,0,496.44,1143.375,RESIDENTIAL,953500
1975,318.96,1,1,1,5908,1,1,0,0,373.06,1172.658,RESIDENTIAL,953000
1973,248.16,1,1,1,6511,1,1,0,0,302.16,1139.143,RESIDENTIAL,953000
2005,260.956,0,0,0,103,1,1,0,1,260.956,1027.3,COMMERCIAL,953000
2000,227.3,1,1,1,724,1,1,0,0,292.7,812.209,RESIDENTIAL,953000
1981,213.1,1,1,1,14509,1,1,0,0,262.01,582.656,RESIDENTIAL,953000
2006,277.5,1,1,1,20404,1,1,0,0,373,3703.976,RESIDENTIAL,953000
2004,350.233,0,0,0,14805,1,1,0,1,350.233,1223.179,COMMERCIAL,952500
2008,284.4,1,1,1,4005,1,1,1,0,367.6,711.131,RESIDENTIAL,952500
2007,263.7,1,1,1,727,1,1,1,0,332.9,614.271,RESIDENTIAL,952500
2008,221.9,1,1,1,20408,1,1,0,0,311.38,3703.918,RESIDENTIAL,952500
1923,572.31,0,0,0,8325,1,1,0,0,572.31,533.906,MULTI-RES,952000
1951,236.92,1,1,0,10430,1,1,0,0,268.31,703.51,RESIDENTIAL,952000
2006,260.3,1,1,1,1196,1,1,0,0,323.1,674.391,RESIDENTIAL,952000
1987,609.806,0,0,0,12804,1,1,0,0,609.796,631.857,COMMERCIAL,951500
2006,344.1,1,1,1,1418,1,1,1,0,415.8,718.021,RESIDENTIAL,951500
1990,250.82,0,1,1,100,1,1,0,0,306.3,891.58,RESIDENTIAL,951500
1999,33.444,0,0,0,7903,1,1,0,0,33.444,6580,INDUSTRIAL,951000
